dbn,school_name,building_ids
14K016,P.S. 016 Leonard Dunkly,K016
14K017,P.S. 017 Henry D. Woodworth,K017
14K023,P.S. 023 Carter G. Woodson,K023
14K050,J.H.S. 050 John D. Wells,K050
14K059,P.S. 059 William Floyd,K059
14K071,Juan Morel Campos Secondary School,K071
14K120,P.S. 120 Carlos Tapia,K120
14K126,John Ericsson Middle School 126,K126
14K147,P.S. 147 Isaac Remsen,K147
14K196,P.S. 196 Ten Eyck,K196
14K297,P.S. 297 Abraham Stockton,K297
14K380,P.S. 380 John Wayne Elementary,K380
14K449,"Brooklyn Latin School, The",K049
14K454,The Williamsburg High School of Art and Technology,K049
14K474,PROGRESS High School for Professional Careers,K450
14K477,East Williamsburg Scholars Academy,K450
14K478,"The High School for Enterprise, Business and Technology",K450
14K488,Brooklyn Preparatory High School,K650
14K558,Williamsburg High School for Architecture and Design,K650
14K561,Williamsburg Preparatory School,K650
14K577,Conselyea Preparatory School,K017
14K582,M.S. 582,K196
14K586,Lyons Community School,K049
14K614,Young Women's Leadership School of Brooklyn,K147
15K088,J.H.S. 088 Peter Rouget,K088
15K130,P.S. 130 The Parkside,"K130, K437"
15K136,I.S. 136 Charles O. Dewey,K136
15K146,"The Brooklyn New School, P.S. 146",K142
15K295,P.S. 295,K845
15K429,Digital Arts and Cinema Technology High School,K293
15K442,M.S. 442 Carroll Gardens School for Innovation,K280
15K443,New Voices School of Academic & Creative Arts,K845
15K447,The Math & Science Exploratory School,K655
15K448,Brooklyn Collaborative Studies,K142
15K462,John Jay School for Law,K460
15K463,Cyberarts Studio Academy,K460
15K464,Park Slope Collegiate,K460
15K497,The Boerum Hill School for International Studies,K293
15K656,Brooklyn High School of the Arts,K655
15K667,Sunset Park High School,K564
15K676,Red Hook Neighborhood School,K027
15K684,Millennium Brooklyn HS,K460
15K821,Sunset Park Prep,K136
15K839,M.S. 839,K437
15K863,Pre-K Center at Bishop Ford School Site,K280
16K005,P.S. 005 Dr. Ronald McNair,K005
16K025,P.S. 025 Eubie Blake School,K025
16K026,P.S. 026 Jesse Owens,K026
16K035,M.S. 035 Stephen Decatur,K035
16K057,Whitelaw Reid Academy of Arts and Business,K057
16K081,P.S. 081 Thaddeus Stevens,K081
16K243,P.S. 243K- The Weeksville School,K243
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,K262
16K267,"M.S. 267 Math, Science & Technology",K324
16K308,P.S. 308 Clara Cardwell,K308
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,K309
16K335,P.S. 335 Granville T. Woods,K335
16K455,Boys and Girls High School,K455
16K627,Brighter Choice Community School,K304
16K628,Brooklyn Brownstone School,K035
16K669,Research and Service High School,K455
16K681,Madiba Prep Middle School,K026
16K688,The Brooklyn Academy of Global Finance,K057
16K765,Nelson Mandela High School,K455
16K898,The Brooklyn Green School,K335
17K002,Parkside Preparatory Academy,K002
17K012,Dr. Jacqueline Peek-Davis School,K012
17K061,M.S. 061 Dr. Gladstone H. Atwell,K061
17K092,P.S. 092 Adrian Hegeman,K092
17K122,Pathways in Technology Early College High School (P-Tech),K625
17K138,P.S. 138 Brooklyn,K138
17K161,P.S. 161 The Crown,K161
17K181,P.S. 181 Brooklyn,K181
17K191,P.S. 191 Paul Robeson,K191
17K221,P.S. 221 Toussaint L'Ouverture,K221
17K246,M.S. 246 Walt Whitman,K246
17K289,P.S. 289 George V. Brower,K289
17K316,P.S. 316 Elijah Stroud,K316
17K352,Ebbets Field Middle School,K320
17K353,Elijah Stroud Middle School,K316
17K354,The School of Integrated Learning,K390
17K375,P.S. 375 Jackie Robinson School,K320
17K382,Academy for College Preparation and Career Exploration: A College Board School,K465
17K394,M.S. K394,K210
17K398,P.S. 398 Walter Weaver,K398
17K408,Academy of Hospitality and Tourism,K465
17K484,Ronald Edmonds Learning Center II,K012
17K524,International High School at Prospect Heights,K440
17K528,The High School for Global Citizenship,K440
17K531,"School for Human Rights, The",K470
17K532,New Bridges Elementary,K167
17K537,High School for Youth and Community Development at Erasmus,K465
17K539,High School for Service & Learning at Erasmus,K465
17K543,"Science, Technology and Research Early College High School at Erasmus",K465
17K546,High School for Public Service: Heroes of Tomorrow,K470
17K547,Brooklyn Academy of Science and the Environment,K440
17K548,Brooklyn School for Music & Theatre,K440
17K568,Brownsville Academy High School,K907
17K590,Medgar Evers College Preparatory School,K590
17K600,Clara Barton High School,K600
17K646,Aspirations Diploma Plus High School,K824
17K705,Brooklyn Arts and Science Elementary School,K022
17K722,New Heights Middle School,K391
17K745,Brooklyn Institute for Liberal Arts,K470
17K751,Academy for Health Careers,K625
17K770,P.S. 770 New American Academy,K398
18K066,P.S. 66,K066
18K068,I.S. 068 Isaac Bildersee,K068
18K114,P.S. 114 Ryder Elementary,K114
18K135,P.S. 135 Sheldon A. Brookner,"K135, K855"
18K211,I.S. 211 John Wilson,K211
18K219,P.S. 219 Kennedy-King,K219
18K233,P.S. 233 Langston Hughes,K233
18K235,P.S. 235 Janice Marie Knight School,"K235, K242, K855"
18K244,P.S. 244 Richard R. Green,K244
18K279,P.S. 279 Herman Schreiber,K279
18K563,It Takes a Village Academy,K415
18K566,Brooklyn Community High School for Excellence and Equity,K515
18K567,Brooklyn Theatre Arts High School,K515
18K569,Kurt Hahn Expeditionary Learning School,K415
18K576,Victory Collegiate High School,K515
18K578,Brooklyn Bridge Academy,K515
18K581,"The Middle School of Media, Law and Fine Arts",K232
18K588,Middle School for Art and Philosophy,K252
18K617,High School for Innovation in Advertising and Media,K500
18K629,Cultural Academy for the Arts and Sciences,K415
18K633,High School for Medical Professions,K500
18K635,Olympus Academy,K242
18K637,Academy for Conservation and the Environment,K515
18K642,Urban Action Academy,K500
18K763,Brooklyn Science and Engineering Academy,K244
19K013,P.S. 013 Roberto Clemente,K013
19K065,P.S. 065,K798
19K171,I.S. 171 Abraham Lincoln,K171
19K190,P.S. 190 Sheffield,K190
19K202,P.S. 202 Ernest S. Jenkyns,K202
19K213,P.S. 213 New Lots,K213
19K218,J.H.S. 218 James P. Sinnott,K218
19K224,P.S. 224 Hale A. Woodruff,K224
19K273,P.S. 273 Wortman,K273
19K292,J.H.S. 292 Margaret S. Douglas,K292
19K306,P.S. 306 Ethan Allen,K306
19K328,P.S. 328 Phyllis Wheatley,K328
19K346,P.S. 346 Abe Stark,K346
19K404,Academy for Young Writers,K422
19K409,East New York Family Academy,K660
19K422,Spring Creek Community School,K422
19K452,Frederick Douglass Academy VIII Middle School,K346
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,K435
19K504,High School for Civil Rights,K435
19K507,Performing Arts and Technology High School,K435
19K510,World Academy for Total Community Health High School,K435
19K557,Brooklyn Gardens Elementary School,K174
19K583,Multicultural High School,K420
19K618,Academy of Innovative Technology,K420
19K639,Brooklyn Lab School,K420
19K654,Van Siclen Community Middle School,K166
19K659,Cypress Hills Collegiate Preparatory School,K420
19K660,W. H. Maxwell Career and Technical Education High School,K660
19K661,Vista Academy,K302
19K662,Liberty Avenue Middle School,K302
19K663,School of the Future Brooklyn,K174
19K677,East New York Elementary School of Excellence,K072
19K678,East New York Middle School of Excellence,K072
19K683,School for Classics High School,K218
19K760,Highland Park Community School,K171
19K764,The Urban Assembly School for Collaborative Healthcare,K420
19K907,Legacy School of the Arts,K190
19K938,P.S. 938,K667
19K953,The East New York Arts and Civics High School,K166
20K030,P.S./I.S. 30 Mary White Ovington,"K331, K940"
20K163,P.S. 163 Bath Beach,K807
20K164,P.S. 164 Caesar Rodney,K164
20K180,The SEEALL Academy,K180
20K192,P.S. 192 - The Magnet School for Math and Science Inquiry,K192
